Country;safety;militarisation;conflict
Afghanistan;4.127;2.472;3.65
Albania;2.12;1.666;1.403
Algeria;2.302;2.041;2.068
Angola;2.413;1.706;1.666
Argentina;2.656;1.611;1.201
Armenia;1.977;2.041;1.99
Australia;1.657;1.848;1.266
Austria;1.452;1.331;1.097
Azerbaijan;2.528;2.108;2.579
Bahrain;2.405;1.717;1.955
Bangladesh;2.438;1.534;2.004
Belarus;2.526;1.896;2.208
Belgium;1.806;1.602;1.141
Benin;2.574;2.022;1.666
Bhutan;1.601;1.336;1.436
Bolivia;2.503;1.934;1.403
Bosnia and Herzegovina;2.044;1.526;1.835
Botswana;2.441;1.812;1
Brazil;3.284;1.965;1.853
Bulgaria;1.929;1.633;1
Burkina Faso;2.993;2.189;3.023
Burundi;3.024;1.556;2.443
Cambodia;2.08;1.933;1.638
Cameroon;3.014;1.877;2.967
Canada;1.637;1.465;1.03
Central African Republic;3.579;2.273;2.874
Chad;2.903;2.189;2.552
Chile;2.361;1.585;1.403
China;2.107;2.022;1.858
Colombia;3.596;2.052;2.099
Costa Rica;2.229;1.614;1.201
Cote d' Ivoire;2.764;1.724;1.694
Croatia;1.564;1.565;1.201
Cuba;2.614;1.533;1.805
Cyprus;2.251;1.605;1.604
Czech Republic;1.566;1.263;1.034
Democratic Republic of the Congo;3.747;1.881;3.413
Denmark;1.295;1.368;1.242
Djibouti;2.561;2.14;1.856
Dominican Republic;2.614;1.72;1.403
Ecuador;2.509;1.866;1.426
Egypt;2.503;2.014;2.426
El Salvador;3.062;1.879;1.436
Equatorial Guinea;2.2;1.638;1.604
Eritrea;3.359;1.914;1.705
Estonia;1.703;1.607;1.638
Eswatini;2.576;1.706;1.604
Ethiopia;2.917;1.809;3.457
Finland;1.349;1.598;1.436
France;1.867;2.773;1.305
Gabon;2.378;1.807;1.604
Georgia;2.413;1.79;1.805
Germany;1.619;1.75;1.062
Ghana;2.026;1.726;1.472
Greece;1.773;2.036;1.805
Guatemala;2.819;1.698;1.626
Guinea;2.587;2.069;2.262
Guinea-Bissau;2.586;2.218;1.615
Guyana;2.895;1.551;1.604
Haiti;2.735;1.74;2.077
Honduras;3.064;1.812;1.604
Hungary;1.528;1.184;1.421
Iceland;1.237;1.02;1
India;2.373;2.461;2.982
Indonesia;2.107;1.496;1.644
Iran;2.838;2.123;2.923
Iraq;3.646;2.298;3.207
Ireland;1.525;1.259;1.015
Israel;2.237;3.813;2.167
Italy;1.927;2.013;1.034
Jamaica;2.791;1.721;1.201
Japan;1.283;1.308;1.403
Jordan;2.037;1.964;1.542
Kazakhstan;2.492;1.781;1.805
Kenya;2.599;1.794;2.345
Kosovo;2.266;1.575;1.805
Kuwait;1.762;2.184;1.431
Kyrgyz Republic;2.282;1.671;2.006
Laos;2.076;1.949;1.403
Latvia;1.798;1.479;1.634
Lebanon;2.748;2.317;2.701
Lesotho;2.528;1.748;1.805
Liberia;2.491;1.804;1.462
Libya;3.093;2.433;3.16
Lithuania;1.775;1.735;1.638
Madagascar;2.612;1.444;1.63
Malawi;2.144;1.723;1.739
Malaysia;1.973;1.205;1.015
Mali;3.589;1.873;2.861
Mauritania;2.782;1.969;1.638
Mauritius;2.132;1.373;1
Mexico;3.158;1.736;2.642
Moldova;2.142;1.243;2.006
Mongolia;2.459;1.348;1.201
Montenegro;2.243;1.602;1.403
Morocco;2.158;1.752;1.891
Mozambique;2.803;1.677;2.215
Myanmar;3.116;1.744;2.7
Namibia;2.569;1.755;1.201
Nepal;2.493;1.706;1.436
Netherlands;1.525;2.206;1.045
New Zealand;1.53;1.168;1.008
Nicaragua;2.966;1.723;2.006
Niger;2.957;1.957;2.839
Nigeria;3.107;2.059;2.806
North Korea;3.113;3.12;2.61
North Macedonia;1.928;1.771;1.403
Norway;1.266;2.184;1.235
Oman;1.892;2.651;1.403
Pakistan;2.653;2.581;3.172
Palestine;2.95;1.991;2.612
Panama;2.524;1.547;1.403
Papua New Guinea;2.802;1.697;1.605
Paraguay;2.534;2.004;1.403
Peru;2.625;1.938;1.42
Philippines;2.855;1.7;2.41
Poland;1.933;1.527;1.403
Portugal;1.39;1.312;1.007
Qatar;1.495;2.196;1.246
Republic of the Congo;2.903;2.194;1.62
Romania;1.837;1.773;1.007
Russia;2.912;3.234;2.844
Rwanda;2.374;1.512;1.858
Saudi Arabia;2.254;2.614;2.425
Senegal;2.337;1.701;1.418
Serbia;1.976;1.796;1.604
Sierra Leone;2.313;1.605;1.413
Singapore;1.238;1.943;1
Slovakia;1.835;1.274;1.403
Slovenia;1.407;1.129;1.403
Somalia;3.624;2.155;3.474
South Africa;3.234;1.758;1.613
South Korea;1.591;2.37;1.805
South Sudan;3.957;2.594;3.267
Spain;1.808;1.898;1.218
Sri Lanka;2.377;2.047;1.855
Sudan;3.303;2.312;3.04
Sweden;1.475;1.802;1.221
Switzerland;1.236;1.929;1.005
Syria;3.741;2.287;3.828
Taiwan;1.731;1.704;1.604
Tajikistan;2.428;1.707;2.057
Tanzania;2.353;1.687;1.479
Thailand;2.863;1.562;1.916
The Gambia;2.373;1.83;1.409
Timor-Leste;2.369;1.667;1.403
Togo;2.615;2.02;1.818
Trinidad and Tobago;2.736;2.098;1.201
Tunisia;2.508;1.769;1.82
Turkey;3.217;2.058;3.159
Turkmenistan;2.501;2.383;1.604
Uganda;2.762;1.76;1.765
Ukraine;3.23;2.044;2.765
United Arab Emirates;1.712;2.652;1.464
United Kingdom;1.729;2.489;1.042
United States of America;2.225;3.172;1.77
Uruguay;2.323;1.582;1
Uzbekistan;2.215;2.213;1.805
Venezuela;4.007;2.002;2.103
Vietnam;2.289;1.876;1.403
Yemen;3.771;2.272;3.559
Zambia;2.511;1.519;1.604
Zimbabwe;2.99;2.044;2.112
